Brand,Model,Year,Transmission,Mileage,Price
Toyota,RAV4,2021,Manual,289967,6700
Ford,Focus,2001,Manual,42064,6758
Hyundai,Sonata,2018,Manual,233614,10327
Ford,Explorer,2023,Automatic,67072,17258
BMW,X5,2017,Manual,256380,8572
Mercedes,C-Class,2010,Semi-Automatic,159546,5809
Mercedes,E-Class,2014,Semi-Automatic,5877,13982
Hyundai,Tucson,2002,Automatic,33244,11435
Chevrolet,Impala,2013,Manual,206381,8672
Honda,Civic,2016,Automatic,175833,10883
Hyundai,Tucson,2005,Semi-Automatic,157073,6058
BMW,3 Series,2015,Automatic,131766,12364
Ford,Explorer,2001,Manual,18630,6227
Audi,A4,2015,Automatic,54522,11109
Mercedes,GLA,2013,Semi-Automatic,231290,6774
Kia,Optima,2000,Manual,166776,6464
Audi,A3,2002,Manual,16302,8373
Audi,Q5,2015,Semi-Automatic,252824,7443
Kia,Sportage,2007,Automatic,269614,4507
Kia,Sportage,2000,Semi-Automatic,264697,3606
Honda,CR-V,2014,Manual,287926,6541
Audi,A3,2001,Automatic,43196,6836
Toyota,RAV4,2001,Semi-Automatic,279971,3300
Hyundai,Sonata,2009,Manual,286745,2065
Mercedes,C-Class,2011,Semi-Automatic,885,11682
Honda,Civic,2013,Semi-Automatic,93273,10634
BMW,X5,2004,Semi-Automatic,110947,6781
Honda,CR-V,2018,Manual,166808,7363
Audi,Q5,2022,Automatic,186035,12279
Ford,Fiesta,2005,Semi-Automatic,68819,6223
Chevrolet,Impala,2018,Semi-Automatic,157181,10056
Mercedes,C-Class,2007,Semi-Automatic,97350,8153
Volkswagen,Passat,2016,Manual,271497,6970
Toyota,RAV4,2013,Semi-Automatic,225452,9790
Kia,Optima,2010,Automatic,51040,11379
Volkswagen,Golf,2012,Semi-Automatic,7544,13749
Chevrolet,Equinox,2009,Semi-Automatic,264411,5111
BMW,X5,2012,Manual,153919,8921
Honda,CR-V,2010,Manual,115344,6493
Kia,Rio,2009,Semi-Automatic,106781,7564
Hyundai,Sonata,2011,Manual,279545,2809
Hyundai,Sonata,2020,Manual,11757,11564
Audi,Q5,2014,Semi-Automatic,230787,6084
Hyundai,Elantra,2020,Automatic,216478,11970
Mercedes,C-Class,2003,Semi-Automatic,134567,4908
Mercedes,C-Class,2006,Manual,162852,9142
BMW,3 Series,2023,Semi-Automatic,112480,13650
Kia,Optima,2017,Automatic,60780,13384
Honda,CR-V,2012,Automatic,21520,11969
BMW,5 Series,2017,Automatic,199006,8819
Chevrolet,Equinox,2006,Automatic,11585,10168
Chevrolet,Equinox,2009,Manual,79962,10000
Volkswagen,Golf,2014,Automatic,95537,13789
Mercedes,GLA,2021,Manual,229873,10102
Toyota,RAV4,2006,Manual,195129,4297
Chevrolet,Impala,2011,Automatic,136926,11161
Ford,Focus,2003,Semi-Automatic,85005,6499
Audi,A4,2017,Automatic,172248,11955
Volkswagen,Golf,2017,Automatic,179528,11409
Hyundai,Sonata,2014,Manual,1752,12564
Mercedes,GLA,2008,Manual,25557,11188
BMW,5 Series,2007,Automatic,211162,8376
Audi,A3,2014,Automatic,182364,10152
Hyundai,Sonata,2010,Automatic,112946,7941
Ford,Focus,2009,Automatic,122067,7958
Toyota,RAV4,2008,Semi-Automatic,296747,6065
BMW,5 Series,2018,Semi-Automatic,23722,11825
Hyundai,Elantra,2000,Manual,161487,2670
Ford,Focus,2009,Automatic,99562,10408
Kia,Optima,2018,Manual,107386,11252
Volkswagen,Golf,2021,Automatic,32991,15240
Audi,A3,2017,Manual,156940,7761
Toyota,Camry,2007,Manual,87444,6651
BMW,5 Series,2009,Manual,232049,3559
Ford,Focus,2009,Automatic,114668,8206
Toyota,Camry,2017,Semi-Automatic,297176,10056
Hyundai,Sonata,2011,Semi-Automatic,138965,9720
Volkswagen,Tiguan,2006,Automatic,251894,6762
Toyota,Corolla,2006,Semi-Automatic,174551,5208
BMW,5 Series,2011,Automatic,260151,6696
Chevrolet,Malibu,2006,Manual,253372,3632
Mercedes,GLA,2010,Manual,99563,8008
Ford,Fiesta,2014,Automatic,267949,10341
BMW,X5,2010,Manual,79663,10106
Toyota,RAV4,2013,Automatic,85640,13287
Mercedes,E-Class,2001,Automatic,1937,11261
Ford,Fiesta,2014,Automatic,253316,7933
Mercedes,E-Class,2007,Semi-Automatic,203452,5330
Hyundai,Elantra,2022,Manual,181600,13268
BMW,X5,2002,Manual,296864,2000
Kia,Sportage,2014,Semi-Automatic,262641,5447
Audi,Q5,2023,Automatic,222000,14760
Ford,Focus,2006,Automatic,98002,10039
Kia,Sportage,2000,Manual,131933,5861
BMW,X5,2001,Manual,287045,3259
Chevrolet,Malibu,2008,Semi-Automatic,215987,4680
Honda,CR-V,2009,Manual,201403,5571
BMW,3 Series,2021,Manual,263073,9038
Audi,A3,2021,Semi-Automatic,91956,12960
Kia,Sportage,2021,Manual,197902,8741
Toyota,RAV4,2006,Automatic,107474,6250
BMW,5 Series,2011,Automatic,178039,6439
BMW,5 Series,2009,Automatic,84645,12607
Kia,Optima,2020,Semi-Automatic,118504,12829
Honda,Accord,2009,Manual,217224,5155
Toyota,Camry,2002,Automatic,118041,6439
Audi,A4,2020,Semi-Automatic,186962,10660
Mercedes,GLA,2023,Semi-Automatic,78961,12720
Mercedes,GLA,2010,Manual,296156,3176
Toyota,RAV4,2019,Automatic,232074,8658
Ford,Explorer,2001,Manual,38542,7929
BMW,X5,2010,Automatic,295058,5598
Toyota,Camry,2013,Manual,262285,5954
Ford,Explorer,2008,Semi-Automatic,225838,7883
Chevrolet,Equinox,2023,Automatic,230795,11884
Chevrolet,Malibu,2008,Manual,94729,7105
Mercedes,C-Class,2022,Automatic,282199,9656
Audi,A3,2006,Automatic,282423,4351
Mercedes,C-Class,2004,Manual,191859,5462
Ford,Fiesta,2004,Automatic,256459,4870
Kia,Sportage,2021,Semi-Automatic,74107,13017
Volkswagen,Golf,2019,Manual,230974,9080
BMW,5 Series,2016,Manual,56150,9477
Mercedes,C-Class,2010,Semi-Automatic,256100,6678
Volkswagen,Golf,2006,Automatic,9512,10909
Audi,A3,2011,Automatic,80241,12095
Audi,A4,2021,Semi-Automatic,150713,12085
Audi,Q5,2018,Semi-Automatic,207019,9059
Audi,A3,2023,Semi-Automatic,163039,10939
Toyota,Corolla,2000,Manual,145101,3197
Ford,Focus,2016,Semi-Automatic,278559,4728
Hyundai,Elantra,2017,Automatic,269154,9516
Kia,Sportage,2010,Manual,62065,8158
Audi,Q5,2023,Manual,52679,11846
Toyota,Camry,2014,Manual,177766,5744
Honda,Civic,2007,Manual,158154,6636
Chevrolet,Impala,2021,Automatic,52051,14158
Toyota,Camry,2023,Manual,117049,10159
Toyota,Camry,2000,Automatic,271405,3971
Hyundai,Sonata,2010,Semi-Automatic,260006,5499
Toyota,RAV4,2012,Manual,234785,4704
Kia,Optima,2009,Automatic,222076,7458
Volkswagen,Passat,2002,Manual,194835,2603
Ford,Focus,2013,Automatic,145970,8580
Ford,Fiesta,2011,Automatic,30785,10684
Audi,Q5,2015,Semi-Automatic,57196,11156
Kia,Sportage,2019,Semi-Automatic,50680,12786
Toyota,RAV4,2001,Semi-Automatic,230052,4498
Honda,Civic,2019,Manual,273193,8536
Hyundai,Elantra,2003,Semi-Automatic,169451,7010
BMW,X5,2020,Automatic,286174,10076
Chevrolet,Malibu,2004,Manual,242712,5345
Hyundai,Elantra,2014,Manual,227371,9152
Kia,Optima,2002,Manual,79442,4811
Toyota,Corolla,2005,Automatic,29885,9702
Volkswagen,Tiguan,2008,Semi-Automatic,261478,5570
Kia,Optima,2010,Automatic,170847,6383
BMW,X5,2001,Semi-Automatic,87221,8755
Mercedes,C-Class,2014,Manual,217980,6840
Volkswagen,Passat,2010,Automatic,71288,13274
BMW,5 Series,2016,Manual,91092,11578
Honda,Civic,2020,Semi-Automatic,24913,14001
Kia,Sportage,2000,Semi-Automatic,155444,6191
Mercedes,E-Class,2014,Semi-Automatic,171683,9366
Honda,CR-V,2015,Automatic,295428,8991
Volkswagen,Golf,2010,Automatic,207380,8352
Mercedes,C-Class,2012,Automatic,89226,10915
BMW,3 Series,2001,Manual,79217,8415
Mercedes,E-Class,2010,Automatic,297971,5940
Ford,Fiesta,2011,Semi-Automatic,178950,7321
Audi,A3,2017,Automatic,148880,13122
Honda,Accord,2013,Semi-Automatic,23936,9221
Audi,Q5,2002,Manual,68076,7438
Chevrolet,Malibu,2015,Automatic,144743,10105
Kia,Rio,2014,Semi-Automatic,90279,10894
Audi,A3,2018,Semi-Automatic,56429,10871
Audi,A3,2014,Automatic,1197,12676
Mercedes,C-Class,2021,Automatic,200177,9796
Chevrolet,Malibu,2022,Manual,5679,13586
BMW,3 Series,2011,Manual,14586,11408
Kia,Sportage,2001,Semi-Automatic,202216,4955
BMW,5 Series,2002,Manual,249673,4506
Chevrolet,Impala,2011,Manual,39156,8316
Volkswagen,Golf,2010,Semi-Automatic,68014,12239
Ford,Focus,2008,Manual,126868,6362
Mercedes,E-Class,2010,Manual,258632,6927
Ford,Fiesta,2021,Semi-Automatic,201170,11676
Audi,A3,2019,Manual,13569,13428
BMW,3 Series,2020,Semi-Automatic,191301,8373
Kia,Sportage,2002,Semi-Automatic,169424,5711
BMW,X5,2010,Manual,63026,8739
Chevrolet,Malibu,2001,Semi-Automatic,145630,8287
Audi,Q5,2003,Automatic,44024,9319
Audi,Q5,2022,Manual,122902,11441
Audi,A3,2012,Semi-Automatic,92692,11846
Chevrolet,Equinox,2020,Automatic,22360,14052
Mercedes,E-Class,2018,Manual,53596,11828
Honda,Accord,2000,Semi-Automatic,45737,8785
Kia,Sportage,2020,Automatic,98160,13636
Chevrolet,Impala,2018,Manual,253702,8425
Ford,Explorer,2006,Semi-Automatic,94715,6505
Volkswagen,Passat,2005,Semi-Automatic,1841,6963
Kia,Optima,2021,Semi-Automatic,109050,9819
BMW,5 Series,2008,Semi-Automatic,236894,7162
Toyota,Corolla,2016,Automatic,256691,11666
Ford,Explorer,2006,Semi-Automatic,235768,3784
Mercedes,C-Class,2003,Manual,88089,8638
Honda,CR-V,2007,Automatic,160230,10295
Mercedes,E-Class,2000,Manual,233776,2000
Chevrolet,Equinox,2015,Semi-Automatic,117006,8559
Ford,Fiesta,2005,Semi-Automatic,295379,4392
Chevrolet,Impala,2019,Manual,299406,7311
Ford,Explorer,2011,Semi-Automatic,182197,5156
Volkswagen,Tiguan,2015,Semi-Automatic,235687,7286
Volkswagen,Passat,2005,Automatic,293339,4833
Audi,A3,2008,Manual,79861,8402
Mercedes,C-Class,2020,Semi-Automatic,288000,6240
Kia,Rio,2022,Automatic,295898,7882
Toyota,RAV4,2005,Semi-Automatic,239287,4314
Honda,CR-V,2016,Automatic,7588,14648
Volkswagen,Tiguan,2002,Automatic,152117,6557
Kia,Sportage,2019,Manual,195296,10294
Chevrolet,Impala,2006,Automatic,191716,7965
Honda,CR-V,2000,Manual,230409,3091
Honda,Civic,2014,Automatic,106397,8772
Volkswagen,Passat,2007,Manual,295514,5989
Kia,Sportage,2001,Automatic,232603,5347
Mercedes,E-Class,2000,Manual,18150,6237
Volkswagen,Passat,2000,Automatic,222084,2958
Toyota,Corolla,2016,Manual,59160,11416
Chevrolet,Equinox,2016,Semi-Automatic,73775,9724
Mercedes,E-Class,2007,Automatic,89733,10305
Hyundai,Tucson,2002,Semi-Automatic,11401,7071
Chevrolet,Impala,2019,Semi-Automatic,233465,9530
Volkswagen,Golf,2016,Semi-Automatic,240885,8382
Mercedes,GLA,2006,Semi-Automatic,25049,10899
Chevrolet,Equinox,2003,Semi-Automatic,110430,5791
Hyundai,Elantra,2018,Semi-Automatic,205909,11081
Ford,Explorer,2011,Semi-Automatic,161912,6561
Mercedes,C-Class,2002,Automatic,54815,9703
Hyundai,Elantra,2019,Manual,128619,12527
Honda,Civic,2019,Manual,121403,12371
Toyota,Corolla,2019,Semi-Automatic,253093,10938
Chevrolet,Malibu,2022,Semi-Automatic,97890,13542
Toyota,Camry,2016,Manual,157466,6950
Kia,Rio,2004,Semi-Automatic,168226,5535
Audi,A3,2009,Automatic,275586,3988
Ford,Focus,2015,Manual,50573,11488
Volkswagen,Tiguan,2006,Manual,219205,6115
Hyundai,Elantra,2008,Automatic,1708,12665
Kia,Rio,2012,Automatic,244437,7911
Kia,Sportage,2016,Manual,134097,10318
Ford,Fiesta,2010,Manual,98700,7226
Mercedes,E-Class,2018,Manual,78445,10531
Chevrolet,Equinox,2001,Semi-Automatic,93140,7137
Hyundai,Elantra,2006,Automatic,288209,4635
Hyundai,Sonata,2009,Semi-Automatic,282931,6541
Volkswagen,Passat,2023,Automatic,242006,11659
Kia,Optima,2006,Manual,272450,6051
Kia,Sportage,2002,Automatic,54982,9500
Chevrolet,Malibu,2003,Semi-Automatic,53980,5120
Ford,Explorer,2019,Semi-Automatic,84291,10714
Hyundai,Sonata,2002,Semi-Automatic,264010,3519
Audi,A3,2020,Semi-Automatic,54068,11718
Hyundai,Tucson,2002,Manual,253283,4034
BMW,5 Series,2010,Automatic,1666,9666
Honda,Accord,2000,Automatic,128713,7825
Toyota,Camry,2004,Automatic,155101,6597
Volkswagen,Passat,2002,Automatic,153222,6235
BMW,3 Series,2004,Semi-Automatic,140269,7494
Toyota,Corolla,2022,Automatic,48034,15839
Honda,Accord,2007,Automatic,197700,7446
Ford,Focus,2020,Manual,130961,9780
Volkswagen,Tiguan,2009,Semi-Automatic,204370,6212
Ford,Explorer,2005,Semi-Automatic,103956,5420
Chevrolet,Equinox,2004,Manual,86109,8577
Kia,Sportage,2011,Manual,264104,4817
Honda,Accord,2019,Automatic,1068,13378
Hyundai,Elantra,2004,Automatic,202084,7858
BMW,3 Series,2012,Semi-Automatic,78159,10636
Kia,Optima,2012,Automatic,188249,10135
Audi,A4,2021,Semi-Automatic,252284,8954
Mercedes,C-Class,2011,Manual,120010,9799
Mercedes,GLA,2007,Semi-Automatic,77167,9456
Audi,Q5,2021,Semi-Automatic,226346,8873
Toyota,Camry,2014,Automatic,35164,13196
Ford,Explorer,2015,Manual,147409,11951
Ford,Fiesta,2016,Manual,292131,6657
Kia,Rio,2016,Automatic,285860,8282
Audi,A3,2005,Manual,112828,7643
Audi,Q5,2023,Semi-Automatic,225090,10998
Volkswagen,Golf,2003,Manual,235804,4783
Kia,Rio,2007,Manual,18622,12527
Honda,Civic,2001,Semi-Automatic,38814,7423
Volkswagen,Golf,2001,Manual,64027,5419
Kia,Rio,2013,Manual,155927,8581
Honda,CR-V,2000,Semi-Automatic,181019,4979
Ford,Focus,2014,Semi-Automatic,91618,10267
Chevrolet,Equinox,2004,Semi-Automatic,234638,4207
Ford,Focus,2006,Automatic,213796,8524
Hyundai,Elantra,2008,Semi-Automatic,242378,8152
Kia,Optima,2015,Manual,68256,12634
Honda,CR-V,2012,Manual,4608,14507
Ford,Fiesta,2014,Automatic,262198,11256
Hyundai,Elantra,2014,Semi-Automatic,203553,7928
Audi,A4,2007,Manual,252417,2551
Ford,Focus,2010,Automatic,42902,12641
Audi,A4,2020,Manual,116761,14564
Mercedes,C-Class,2015,Manual,181326,7673
Ford,Explorer,2008,Manual,286699,6866
Toyota,RAV4,2013,Automatic,149662,11306
Volkswagen,Tiguan,2019,Semi-Automatic,213300,10234
Toyota,RAV4,2015,Manual,125458,8090
Hyundai,Sonata,2011,Manual,61333,8673
BMW,X5,2009,Automatic,103338,12033
Hyundai,Elantra,2019,Automatic,44978,14300
Honda,Accord,2002,Automatic,119657,8306
Ford,Explorer,2003,Manual,106537,7069
Honda,Accord,2005,Manual,228351,5832
Volkswagen,Golf,2000,Semi-Automatic,156258,2974
Mercedes,C-Class,2022,Manual,233628,9627
Honda,Accord,2000,Semi-Automatic,238272,3234
Chevrolet,Malibu,2023,Manual,280794,7384
Kia,Rio,2005,Semi-Automatic,14058,7918
Audi,A3,2018,Semi-Automatic,274434,8311
Chevrolet,Equinox,2015,Automatic,60419,12091
BMW,X5,2021,Semi-Automatic,98604,13427
Volkswagen,Golf,2023,Automatic,133425,11431
Hyundai,Tucson,2004,Manual,271816,5063
Mercedes,GLA,2019,Semi-Automatic,247451,7750
Ford,Fiesta,2014,Semi-Automatic,85892,11282
Ford,Explorer,2006,Semi-Automatic,252610,5947
Audi,A4,2020,Manual,282883,6742
BMW,5 Series,2020,Semi-Automatic,109271,11614
Mercedes,GLA,2018,Automatic,119566,11608
Ford,Focus,2009,Manual,54105,8717
Honda,CR-V,2020,Manual,103185,11436
Chevrolet,Impala,2010,Manual,227999,5340
BMW,X5,2000,Automatic,141537,4869
Hyundai,Elantra,2022,Automatic,250524,9989
BMW,5 Series,2012,Automatic,163543,7629
Audi,A4,2021,Manual,283597,7428
Kia,Rio,2021,Automatic,79401,13911
Ford,Fiesta,2007,Manual,125769,9084
Hyundai,Sonata,2009,Manual,67077,9558
Hyundai,Sonata,2007,Manual,76257,8974
Ford,Focus,2010,Automatic,220484,7390
Toyota,Camry,2010,Semi-Automatic,155338,8693
Volkswagen,Tiguan,2006,Automatic,135166,9796
Ford,Fiesta,2009,Automatic,22624,10247
Audi,A3,2002,Automatic,106780,8264
Mercedes,C-Class,2017,Semi-Automatic,40455,12690
Ford,Explorer,2007,Semi-Automatic,261935,2061
Honda,CR-V,2015,Manual,164031,9519
Mercedes,GLA,2018,Automatic,108824,14623
Honda,CR-V,2001,Semi-Automatic,67506,7349
Mercedes,C-Class,2013,Automatic,198747,8025
Honda,CR-V,2004,Automatic,189304,6313
Audi,A3,2019,Semi-Automatic,171550,9469
Chevrolet,Malibu,2011,Automatic,49802,14703
Kia,Rio,2006,Manual,32528,12149
Kia,Rio,2002,Automatic,252871,4442
Hyundai,Tucson,2010,Semi-Automatic,37887,9942
Kia,Optima,2003,Automatic,243023,5139
Ford,Fiesta,2011,Automatic,125014,11399
BMW,X5,2007,Automatic,225309,7193
Volkswagen,Golf,2012,Semi-Automatic,19946,10801
Toyota,RAV4,2016,Semi-Automatic,34256,11714
BMW,X5,2007,Manual,48326,9333
Chevrolet,Impala,2018,Automatic,22059,15458
BMW,5 Series,2016,Automatic,82589,11848
Mercedes,GLA,2005,Manual,254719,5005
Volkswagen,Tiguan,2012,Manual,22534,10049
Audi,A4,2009,Semi-Automatic,105672,9986
Ford,Focus,2013,Manual,184223,9815
Ford,Fiesta,2012,Automatic,66901,13261
Toyota,Camry,2014,Semi-Automatic,277899,5542
Hyundai,Elantra,2010,Manual,93756,10724
Mercedes,GLA,2005,Automatic,159958,9700
Hyundai,Tucson,2020,Automatic,130146,11697
Audi,Q5,2017,Semi-Automatic,184285,8914
Ford,Explorer,2001,Manual,221586,2068
Ford,Explorer,2005,Automatic,40020,10399
Volkswagen,Tiguan,2017,Automatic,201512,11969
Kia,Sportage,2014,Semi-Automatic,180373,5992
Toyota,Corolla,2014,Semi-Automatic,114382,10712
Mercedes,E-Class,2003,Automatic,211135,4177
Mercedes,C-Class,2007,Semi-Automatic,118689,5826
Kia,Sportage,2017,Manual,149589,9608
Audi,A4,2022,Manual,84573,12408
Chevrolet,Impala,2004,Semi-Automatic,149851,4102
Hyundai,Sonata,2002,Automatic,122979,6140
Audi,A4,2018,Manual,180019,7499
BMW,3 Series,2001,Semi-Automatic,107974,6940
Mercedes,GLA,2003,Semi-Automatic,17393,7852
Ford,Fiesta,2001,Semi-Automatic,74,8998
Toyota,Corolla,2014,Automatic,215776,8684
Volkswagen,Golf,2022,Semi-Automatic,15423,15491
Volkswagen,Tiguan,2009,Automatic,216808,6063
BMW,3 Series,2001,Automatic,271492,6670
BMW,5 Series,2017,Automatic,23058,14938
Toyota,Corolla,2015,Manual,292193,9656
Mercedes,C-Class,2020,Manual,100045,9299
Toyota,Corolla,2018,Automatic,230823,9883
Ford,Fiesta,2020,Automatic,123389,13032
Kia,Sportage,2020,Automatic,87168,12556
Honda,CR-V,2016,Manual,253949,7021
Ford,Focus,2001,Semi-Automatic,88202,6735
Volkswagen,Golf,2010,Semi-Automatic,89735,10905
Chevrolet,Malibu,2015,Semi-Automatic,190674,9086
Honda,Civic,2007,Manual,45399,8292
Kia,Sportage,2015,Manual,118075,9738
BMW,5 Series,2023,Semi-Automatic,212962,10540
Ford,Explorer,2000,Manual,222734,2445
Volkswagen,Passat,2000,Automatic,158249,9235
BMW,3 Series,2008,Semi-Automatic,268020,5539
Toyota,Corolla,2015,Manual,102552,11548
Honda,CR-V,2004,Automatic,96421,10771
Honda,Civic,2018,Automatic,227142,9657
Toyota,RAV4,2002,Automatic,265079,2598
Kia,Sportage,2001,Semi-Automatic,258462,4530
Honda,Civic,2007,Semi-Automatic,84889,8102
Volkswagen,Tiguan,2023,Automatic,193427,13231
Hyundai,Sonata,2020,Automatic,15353,15692
Honda,CR-V,2022,Automatic,95078,13298
Volkswagen,Golf,2003,Automatic,92303,8853
Ford,Explorer,2011,Manual,122843,6043
